date,value
1997-01-01,167.5
1997-02-01,168.3
1997-03-01,169.0
1997-04-01,169.4
1997-05-01,169.3
1997-06-01,169.2
1997-07-01,169.5
1997-08-01,169.6
1997-09-01,170.0
1997-10-01,170.8
1997-11-01,170.8
1997-12-01,170.7
1998-01-01,171.2
1998-02-01,172.1
1998-03-01,172.6
1998-04-01,173.0
1998-05-01,173.1
1998-06-01,173.0
1998-07-01,173.3
1998-08-01,173.8
1998-09-01,174.2
1998-10-01,174.7
1998-11-01,174.8
1998-12-01,174.8
1999-01-01,175.3
1999-02-01,175.7
1999-03-01,176.2
1999-04-01,176.8
1999-05-01,176.6
1999-06-01,176.6
1999-07-01,176.9
1999-08-01,177.1
1999-09-01,177.7
1999-10-01,178.3
1999-11-01,178.4
1999-12-01,178.2
2000-01-01,178.8
2000-02-01,179.5
2000-03-01,180.5
2000-04-01,180.9
2000-05-01,180.9
2000-06-01,181.0
2000-07-01,181.3
2000-08-01,181.7
2000-09-01,182.3
2000-10-01,182.8
2000-11-01,183.0
2000-12-01,182.8
2001-01-01,183.5
2001-02-01,184.4
2001-03-01,185.3
2001-04-01,185.6
2001-05-01,185.5
2001-06-01,185.9
2001-07-01,186.2
2001-08-01,186.6
2001-09-01,187.1
2001-10-01,187.6
2001-11-01,188.1
2001-12-01,187.8
2002-01-01,188.2
2002-02-01,189.2
2002-03-01,189.8
2002-04-01,190.3
2002-05-01,190.2
2002-06-01,190.1
2002-07-01,190.3
2002-08-01,191.0
2002-09-01,191.3
2002-10-01,191.8
2002-11-01,191.8
2002-12-01,191.4
2003-01-01,191.8
2003-02-01,192.5
2003-03-01,193.0
2003-04-01,193.1
2003-05-01,193.2
2003-06-01,193.0
2003-07-01,193.2
2003-08-01,193.5
2003-09-01,193.6
2003-10-01,194.3
2003-11-01,193.9
2003-12-01,193.6
2004-01-01,194.0
2004-02-01,194.9
2004-03-01,196.1
2004-04-01,196.5
2004-05-01,196.5
2004-06-01,196.6
2004-07-01,196.6
2004-08-01,196.8
2004-09-01,197.4
2004-10-01,198.2
2004-11-01,198.1
2004-12-01,197.8
2005-01-01,198.4
2005-02-01,199.5
2005-03-01,200.7
2005-04-01,200.9
2005-05-01,200.8
2005-06-01,200.6
2005-07-01,200.8
2005-08-01,201.0
2005-09-01,201.3
2005-10-01,202.3
2005-11-01,202.3
2005-12-01,202.1
2006-01-01,202.6
2006-02-01,203.6
2006-03-01,204.9
2006-04-01,205.5
2006-05-01,205.7
2006-06-01,205.9
2006-07-01,206.2
2006-08-01,206.7
2006-09-01,207.2
2006-10-01,207.8
2006-11-01,207.6
2006-12-01,207.3
2007-01-01,208.009
2007-02-01,209.112
2007-03-01,209.923
2007-04-01,210.311
2007-05-01,210.316
2007-06-01,210.474
2007-07-01,210.756
2007-08-01,211.111
2007-09-01,211.628
2007-10-01,212.318
2007-11-01,212.435
2007-12-01,212.356
2008-01-01,213.138
2008-02-01,213.866
2008-03-01,214.866
2008-04-01,215.059
2008-05-01,215.180
2008-06-01,215.553
2008-07-01,216.045
2008-08-01,216.476
2008-09-01,216.862
2008-10-01,217.023
2008-11-01,216.690
2008-12-01,216.100
2009-01-01,216.719
2009-02-01,217.685
2009-03-01,218.639
2009-04-01,219.143
2009-05-01,219.128
2009-06-01,219.283
2009-07-01,219.350
2009-08-01,219.596
2009-09-01,220.137
2009-10-01,220.731
2009-11-01,220.384
2009-12-01,220.025
2010-01-01,220.086
2010-02-01,220.602
2010-03-01,221.059
2010-04-01,221.166
2010-05-01,221.193
2010-06-01,221.265
2010-07-01,221.258
2010-08-01,221.551
2010-09-01,221.907
2010-10-01,222.079
2010-11-01,222.077
2010-12-01,221.795
2011-01-01,222.177
2011-02-01,223.011
2011-03-01,223.690
2011-04-01,224.118
2011-05-01,224.534
2011-06-01,224.891
2011-07-01,225.164
2011-08-01,225.874
2011-09-01,226.289
2011-10-01,226.743
2011-11-01,226.859
2011-12-01,226.740
2012-01-01,227.237
2012-02-01,227.865
2012-03-01,228.735
2012-04-01,229.303
2012-05-01,229.602
2012-06-01,229.879
2012-07-01,229.893
2012-08-01,230.196
2012-09-01,230.780
2012-10-01,231.276
2012-11-01,231.263
2012-12-01,231.033
2013-01-01,231.612
2013-02-01,232.432
2013-03-01,233.052
2013-04-01,233.236
2013-05-01,233.462
2013-06-01,233.640
2013-07-01,233.792
2013-08-01,234.258
2013-09-01,234.782
2013-10-01,235.162
2013-11-01,235.243
2013-12-01,235.000
2014-01-01,235.367
2014-02-01,236.075
2014-03-01,236.913
2014-04-01,237.509
2014-05-01,238.029
2014-06-01,238.157
2014-07-01,238.138
2014-08-01,238.296
2014-09-01,238.841
2014-10-01,239.413
2014-11-01,239.248
2014-12-01,238.775
2015-01-01,239.248
2015-02-01,240.083
2015-03-01,241.067
2015-04-01,241.802
2015-05-01,242.119
2015-06-01,242.354
2015-07-01,242.436
2015-08-01,242.651
2015-09-01,243.359
2015-10-01,243.985
2015-11-01,244.075
2015-12-01,243.779
2016-01-01,244.528
2016-02-01,245.680
2016-03-01,246.358
2016-04-01,246.992
2016-05-01,247.544
2016-06-01,247.794
2016-07-01,247.744
2016-08-01,248.278
2016-09-01,248.731
2016-10-01,249.218
2016-11-01,249.227
2016-12-01,249.134
2017-01-01,250.083
2017-02-01,251.143
2017-03-01,251.290
2017-04-01,251.642
2017-05-01,251.835
2017-06-01,252.014
2017-07-01,251.936
2017-08-01,252.460
2017-09-01,252.941
2017-10-01,253.638
2017-11-01,253.492
2017-12-01,253.558
2018-01-01,254.638
2018-02-01,255.783
2018-03-01,256.610
2018-04-01,257.025
2018-05-01,257.469
2018-06-01,257.697
2018-07-01,257.867
2018-08-01,258.012
2018-09-01,258.429
2018-10-01,259.063
2018-11-01,259.105
2018-12-01,259.083
2019-01-01,260.122
2019-02-01,261.114
2019-03-01,261.836
2019-04-01,262.332
2019-05-01,262.590
2019-06-01,263.177
2019-07-01,263.566
2019-08-01,264.169
2019-09-01,264.522
2019-10-01,265.059
2019-11-01,265.108
2019-12-01,264.935
2020-01-01,266.004
2020-02-01,267.268
2020-03-01,267.312
2020-04-01,266.089
2020-05-01,265.799
2020-06-01,266.302
2020-07-01,267.703
2020-08-01,268.756
2020-09-01,269.054
2020-10-01,269.328
2020-11-01,269.473
2020-12-01,269.226
2021-01-01,269.755
2021-02-01,270.696
2021-03-01,271.713
2021-04-01,273.968
2021-05-01,275.893
2021-06-01,278.218
2021-07-01,279.146
2021-08-01,279.507
2021-09-01,279.884
2021-10-01,281.617
2021-11-01,282.754
2021-12-01,283.908
2022-01-01,285.996
2022-02-01,288.059
2022-03-01,289.305
2022-04-01,290.846
2022-05-01,292.506
2022-06-01,294.680
2022-07-01,295.646
2022-08-01,297.178
2022-09-01,298.442
2022-10-01,299.315
2022-11-01,299.600
2022-12-01,300.113
2023-01-01,301.962
2023-02-01,304.011
2023-03-01,305.476
2023-04-01,306.899
2023-05-01,308.096
2023-06-01,308.910
2023-07-01,309.402
2023-08-01,310.103
2023-09-01,310.817
2023-10-01,311.380
2023-11-01,311.606
2023-12-01,311.907
2024-01-01,313.623
2024-02-01,315.419
2024-03-01,317.088
2024-04-01,317.978
2024-05-01,318.629
2024-06-01,319.003
2024-07-01,319.214
2024-08-01,320.017
2024-09-01,321.109
2024-10-01,321.758
2024-11-01,321.947
2024-12-01,322.007
2025-01-01,323.842
2025-02-01,325.252
2025-03-01,325.933
2025-04-01,326.815
2025-05-01,327.509
2025-06-01,328.364
2025-07-01,328.980
2025-08-01,329.970
2025-09-01,330.804
2025-10-01,.
2025-11-01,330.425
2025-12-01,330.506
2026-01-01,331.950
2026-02-01,333.242
2026-03-01,334.391
2026-04-01,335.803
2026-05-01,336.846
2026-06-01,336.882
